Time,0,120,240,360,480,600,720,840,960,1080,1200,1320,1440,1560,1680,1800,1920,2040,2160,2280,2400,2520,2640,2760,2880,3000,3120,3240,3360,3480,3600,3720,3840,3960,4080,4200,4320,4440,4560,4680,4800,4920,5040,5160,5280,5400,5520,5640,5760,5880,6000
Mean number of mutants,250,261.07,272.46,284.13,294.33,306.4,320.55,332.87,345.06,360.03,373.13,386.83,401.26,416.59,430.39,444.29,458.59,473.15,487.41,500.99,518.72,535.56,549.5,565.66,578.46,592.03,604.05,618.34,632.59,645.27,658.41,672.99,688.63,701.87,715.91,728.69,742.37,755.27,768.62,781.12,794.09,808.16,818.99,830.07,840.75,853.36,865.45,875.19,886.11,896.39,909
Standard error of mean,0,0.84,1.23,1.58,1.87,2.18,2.48,2.77,3.03,3.35,3.64,3.91,4.19,4.46,4.73,5.03,5.29,5.56,5.83,6.07,6.34,6.59,6.81,7.05,7.26,7.49,7.68,7.91,8.14,8.34,8.52,8.71,8.91,9.09,9.31,9.47,9.64,9.81,9.97,10.13,10.29,10.46,10.59,10.73,10.86,11,11.14,11.26,11.39,11.5,11.63
