Time,0,120,240,360,480,600,720,840,960,1080,1200,1320,1440,1560,1680,1800,1920,2040,2160,2280,2400,2520,2640,2760,2880,3000,3120,3240,3360,3480,3600,3720,3840,3960,4080,4200,4320,4440,4560,4680,4800,4920,5040,5160,5280,5400,5520,5640,5760,5880,6000
Mean number of mutants,250,237.15,224.45,213.21,203.14,192.05,183.48,175.47,166.64,158.65,150.26,142.72,135.56,128.75,122.14,115.9,110.18,104.89,99.71,94.51,89.97,85.51,82.1,78.92,76.46,72.83,69.34,65.89,63.25,60.51,57.67,54.78,52.02,49.92,47.2,45,42.95,41.03,39.26,38.48,37.62,35.68,34.39,33.67,32.3,30.81,29.47,28.63,27.54,26.36,24.81
Standard error of mean,0,0.79,1.07,1.27,1.42,1.54,1.64,1.72,1.76,1.82,1.85,1.87,1.89,1.91,1.91,1.91,1.89,1.9,1.9,1.89,1.87,1.87,1.88,1.89,1.91,1.91,1.89,1.86,1.85,1.85,1.86,1.84,1.78,1.77,1.73,1.72,1.7,1.7,1.66,1.67,1.71,1.68,1.7,1.72,1.71,1.71,1.68,1.68,1.67,1.67,1.62
