Time,0,120,240,360,480,600,720,840,960,1080,1200,1320,1440,1560,1680,1800,1920,2040,2160,2280,2400,2520,2640,2760,2880,3000,3120,3240,3360,3480,3600,3720,3840,3960,4080,4200,4320,4440,4560,4680,4800,4920,5040,5160,5280,5400,5520,5640,5760,5880,6000
Mean number of mutants,250,255.25,259.7,265.92,270.97,274.56,279.52,283.78,287.78,293.49,297.76,303.46,309.85,317.23,323.36,328.3,332.04,337.1,342,346.38,350,354.85,360.78,364.04,369.72,374.9,379.96,384.34,387.56,391.43,396.22,400.85,404.59,407.3,409.96,415.98,418.86,421.6,424.02,427.54,432.15,434.98,439.06,443.28,446.59,449.78,452.94,459.65,464.42,469.23,473.95
Standard error of mean,0,0.84,1.2,1.52,1.79,2.01,2.24,2.46,2.68,2.9,3.11,3.3,3.52,3.74,3.92,4.11,4.28,4.48,4.67,4.81,4.96,5.12,5.33,5.44,5.62,5.79,5.96,6.1,6.23,6.37,6.52,6.64,6.78,6.88,7,7.15,7.26,7.36,7.44,7.55,7.67,7.78,7.91,8.02,8.13,8.22,8.31,8.45,8.57,8.67,8.78
