Time,0,200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,3800,4000,4200,4400,4600,4800,5000,5200,5400,5600,5800,6000
Mean heteroplasmy,0.4545455,0.4549692,0.453522,0.452953,0.452906,0.4543508,0.4542634,0.4553468,0.4556643,0.4553795,0.4565483,0.4570313,0.4575428,0.4566004,0.4572119,0.4561486,0.4574557,0.4573774,0.4580255,0.4584793,0.4588336,0.4589985,0.4586866,0.4583478,0.456981,0.4567647,0.4569721,0.4568565,0.4565213,0.4568047,0.4560207
Standard error of mean,0,0.0010976,0.0015493,0.0018704,0.0021319,0.0023419,0.0025275,0.0026907,0.0028198,0.0029536,0.0030693,0.0031813,0.0032795,0.0033687,0.0034587,0.0035395,0.0036042,0.0036691,0.0037292,0.0037946,0.0038511,0.0039063,0.0039579,0.0040038,0.0040447,0.0040897,0.0041268,0.0041647,0.0042029,0.0042349,0.0042595
