Time,0,180,360,540,720,900,1080,1260,1440,1620,1800,1980,2160,2340,2520,2700,2880,3060,3240,3420,3600,3780,3960,4140,4320,4500,4680,4860,5040,5220,5400,5580,5760,5940
Mean heteroplasmy,0.4545455,0.4521428,0.4492519,0.4459585,0.442798,0.4395118,0.4362149,0.4341338,0.4311817,0.4286986,0.4252033,0.4225524,0.4211973,0.4177679,0.4160074,0.4131691,0.4109111,0.4097644,0.4078561,0.4071112,0.4059978,0.4042914,0.4028094,0.4011991,0.3993434,0.39853,0.3969521,0.3954454,0.3950632,0.3933271,0.3919006,0.3906969,0.3903279,0.3896862
Standard error of mean,0,0.0010469,0.0014457,0.001743,0.0020036,0.0022158,0.002401,0.0025633,0.0027044,0.0028261,0.0029326,0.0030321,0.0031222,0.003208,0.0032887,0.0033623,0.0034296,0.0034855,0.0035375,0.0035904,0.0036428,0.0036876,0.0037331,0.0037744,0.0038076,0.0038449,0.0038834,0.0039209,0.0039584,0.0039928,0.0040198,0.0040477,0.0040782,0.0041044
