Time,0,180,360,540,720,900,1080,1260,1440,1620,1800,1980,2160,2340,2520,2700,2880,3060,3240,3420,3600,3780,3960,4140,4320,4500,4680,4860,5040,5220,5400,5580,5760,5940
Mean heteroplasmy,0.4545455,0.451428,0.4517881,0.4521752,0.4513994,0.4505797,0.4497701,0.4505767,0.4497653,0.4488835,0.4474075,0.4460447,0.4461699,0.4466785,0.4464057,0.4458637,0.4443518,0.4435212,0.4435649,0.4419985,0.4413064,0.4413663,0.4416043,0.4408945,0.4400852,0.439491,0.4393359,0.4396683,0.4392246,0.4388449,0.4387116,0.4383092,0.4387345,0.4383356
Standard error of mean,0,0.0010542,0.0014612,0.0017561,0.00201,0.0022311,0.0024099,0.0025658,0.0027026,0.0028371,0.0029481,0.0030549,0.0031569,0.0032445,0.0033214,0.003399,0.0034692,0.0035308,0.0035878,0.003645,0.0037042,0.0037561,0.0038077,0.0038525,0.0039018,0.0039403,0.0039748,0.0040128,0.0040501,0.0040866,0.004117,0.0041466,0.0041799,0.0042087
