Time,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000,6600,7200,7800,8400,9000,9600,10200,10800,11400,12000,12600,13200,13800,14400,15000,15600,16200,16800,17400,18000,18600,19200,19800,20400,21000,21600,22200,22800,23400,24000,24600,25200,25800,26400,27000,27600,28200,28800,29400,30000
Mean heteroplasmy,0.05,0.0601595,0.068533,0.076495,0.084711,0.0923661,0.0999988,0.1077384,0.1150944,0.1221443,0.12884,0.1350213,0.1411739,0.1467676,0.1518211,0.1563155,0.1608738,0.1646422,0.1680729,0.17151,0.1746009,0.1775314,0.1799149,0.1819645,0.1839645,0.1857861,0.1874501,0.1888857,0.1900996,0.1912574,0.1923832,0.1933585,0.1943266,0.1950606,0.1957998,0.1964894,0.1970785,0.1975487,0.1979796,0.1983448,0.1986342,0.1989116,0.1992206,0.1994474,0.1996574,0.199812,0.199967,0.2001073,0.2002042,0.2003321,0.2004518
Standard error of mean,0,0.0003705,0.0005489,0.000697,0.0008261,0.0009427,0.0010504,0.0011488,0.0012392,0.001322,0.0014003,0.0014687,0.0015346,0.0015927,0.0016444,0.001691,0.0017354,0.0017732,0.0018062,0.0018393,0.0018687,0.0018947,0.0019171,0.0019368,0.0019553,0.001972,0.0019869,0.0020002,0.0020114,0.0020223,0.0020323,0.0020414,0.00205,0.0020574,0.0020637,0.0020697,0.0020751,0.0020795,0.0020835,0.0020868,0.0020895,0.002092,0.0020946,0.0020967,0.0020986,0.0021002,0.0021015,0.0021027,0.0021036,0.0021046,0.0021058
