Time,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000,6600,7200,7800,8400,9000,9600,10200,10800,11400,12000,12600,13200,13800,14400,15000,15600,16200,16800,17400,18000,18600,19200,19800,20400,21000,21600,22200,22800,23400,24000,24600,25200,25800,26400,27000,27600,28200,28800,29400,30000
Mean heteroplasmy,0.05,0.0473846,0.0428118,0.0396907,0.0363663,0.0334976,0.0312406,0.0290224,0.0269008,0.0254718,0.0236527,0.0222028,0.0208869,0.0198555,0.0188521,0.0180902,0.017154,0.0162218,0.015437,0.0146308,0.0139417,0.0134044,0.0127607,0.0122971,0.0118817,0.0114264,0.0107702,0.0103279,0.0098476,0.009429,0.0088826,0.0084411,0.0079977,0.0076445,0.0074108,0.0072362,0.0070285,0.0067912,0.0064904,0.0062954,0.0061058,0.0059253,0.0058039,0.00561,0.0054472,0.0052291,0.005054,0.0049092,0.0047966,0.0046493,0.0045566
Standard error of mean,0,0.0003161,0.0004027,0.0004531,0.000481,0.0004961,0.0005076,0.0005153,0.0005169,0.0005201,0.000515,0.000511,0.000506,0.0005036,0.0005005,0.000498,0.0004899,0.0004819,0.0004762,0.0004667,0.0004611,0.0004562,0.0004486,0.0004433,0.0004387,0.0004327,0.0004236,0.0004189,0.0004117,0.0004054,0.0003935,0.0003842,0.0003772,0.00037,0.0003673,0.0003656,0.0003626,0.0003598,0.0003534,0.0003501,0.0003454,0.0003425,0.0003414,0.0003374,0.0003339,0.0003277,0.0003224,0.0003191,0.0003173,0.0003133,0.000311
