Time,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000,6600,7200,7800,8400,9000,9600,10200,10800,11400,12000,12600,13200,13800,14400,15000,15600,16200,16800,17400,18000,18600,19200,19800,20400,21000,21600,22200,22800,23400,24000,24600,25200,25800,26400,27000,27600,28200,28800,29400,30000
Mean heteroplasmy,0.05,0.0562828,0.0609448,0.0653792,0.06955,0.0733502,0.0774058,0.0808886,0.084492,0.0882941,0.0915768,0.0946057,0.0974633,0.1003732,0.1030056,0.1051899,0.1077099,0.1100023,0.1121015,0.1142852,0.116118,0.1177614,0.1193533,0.1208148,0.122361,0.1236464,0.1247819,0.1260332,0.1271493,0.128038,0.128918,0.1298192,0.1307895,0.1314267,0.1321988,0.1327934,0.1332324,0.133843,0.13447,0.1349561,0.135343,0.1357203,0.1360522,0.1364516,0.1366938,0.1370489,0.1374488,0.1376468,0.1378394,0.1380021,0.138226
Standard error of mean,0,0.0003581,0.0005119,0.0006313,0.0007313,0.0008179,0.0008982,0.000966,0.0010315,0.001095,0.0011516,0.0012017,0.0012482,0.0012937,0.0013335,0.001367,0.0014043,0.0014362,0.001466,0.001495,0.001521,0.0015432,0.0015644,0.0015838,0.0016027,0.0016184,0.0016328,0.0016486,0.0016628,0.0016748,0.0016857,0.0016975,0.0017086,0.0017173,0.0017261,0.0017343,0.0017401,0.0017473,0.0017547,0.0017606,0.0017659,0.0017704,0.0017746,0.0017789,0.0017825,0.0017861,0.0017901,0.0017929,0.0017958,0.0017982,0.0018008
