"#Time along first column, position along first row. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (day)\Position (micrometers),0,30,60,90,120,150,180,210,240,270,300,330,360,390,420,450,480,510,540,570,600,630,660,690,720,750,780,810,840,870,900,930,960,990,1020,1050,1080,1110,1140,1170,1200
10,0.598628932,0.596897419,0.593886273,0.588945973,0.580563092,0.566414561,0.543358677,0.507860686,0.456768689,0.389626102,0.310748938,0.229525086,0.156886179,0.100101533,0.06055553,0.035263055,0.020083336,0.011303066,0.006286145,0.003418848,0.001800329,0.000930134,0.000493884,0.000276929,0.000109098,2.95E-05,5.90E-06,9.22E-07,1.18E-07,1.27E-08,1.18E-09,9.70E-11,7.09E-12,4.68E-13,2.81E-14,1.55E-15,7.90E-17,3.75E-18,1.66E-19,6.90E-21,2.81E-22
11,0.598514835,0.596811358,0.593760255,0.58872728,0.580211836,0.565910019,0.542737625,0.507242014,0.456408519,0.389818396,0.311653356,0.230998652,0.158542808,0.101571198,0.061650757,0.035995544,0.020532491,0.011562908,0.00643322,0.003503704,0.001850861,0.000959353,0.000508631,0.000280654,0.000114844,3.33E-05,7.19E-06,1.23E-06,1.71E-07,2.02E-08,2.06E-09,1.86E-10,1.49E-11,1.08E-12,7.11E-14,4.31E-15,2.41E-16,1.26E-17,6.12E-19,2.80E-20,1.25E-21
12,0.598402394,0.59672102,0.593630875,0.588506342,0.579860067,0.565409031,0.542124929,0.506637092,0.456057815,0.390004966,0.312532535,0.232438795,0.160175227,0.103032061,0.06274972,0.036734985,0.020988624,0.011828126,0.006583771,0.003590469,0.00190229,0.000989038,0.000523635,0.000285193,0.000120362,3.69E-05,8.58E-06,1.58E-06,2.39E-07,3.06E-08,3.40E-09,3.32E-10,2.90E-11,2.29E-12,1.65E-13,1.09E-14,6.63E-16,3.76E-17,2.00E-18,9.94E-20,4.87E-21
13,0.598291243,0.596626821,0.59349816,0.588283203,0.579507922,0.564911615,0.541520548,0.506045324,0.455716171,0.390186099,0.31338766,0.233846675,0.161783645,0.104483779,0.063851786,0.037481173,0.02145164,0.012098707,0.006737822,0.00367918,0.001954654,0.001019206,0.000538942,0.000290451,0.000125727,4.06E-05,1.00E-05,1.98E-06,3.22E-07,4.46E-08,5.34E-09,5.64E-10,5.32E-11,4.54E-12,3.53E-13,2.52E-14,1.66E-15,1.02E-16,5.87E-18,3.16E-19,1.68E-20
14,0.598181063,0.596529111,0.593362161,0.588057913,0.579155528,0.564417794,0.540924419,0.50546616,0.455383196,0.390362063,0.314219842,0.235223406,0.163368308,0.105926034,0.064956364,0.038233882,0.021921444,0.012374635,0.006895396,0.003769873,0.002007989,0.001049876,0.000554587,0.000296351,0.000130998,4.42E-05,1.16E-05,2.43E-06,4.23E-07,6.27E-08,8.05E-09,9.13E-10,9.26E-11,8.49E-12,7.10E-13,5.45E-14,3.87E-15,2.56E-16,1.58E-17,9.16E-19,5.26E-20
15,0.598071576,0.596428177,0.593222948,0.587830524,0.578802999,0.563927587,0.540336457,0.504899092,0.45505852,0.39053311,0.315030119,0.23657005,0.164929493,0.107358526,0.066062901,0.038992871,0.022397937,0.012655895,0.007056517,0.003862586,0.002062333,0.001081071,0.000570599,0.00030283,0.000136224,4.78E-05,1.32E-05,2.93E-06,5.42E-07,8.56E-08,1.17E-08,1.42E-09,1.54E-10,1.51E-11,1.35E-12,1.11E-13,8.43E-15,5.96E-16,3.94E-17,2.45E-18,1.51E-19
16,0.597962539,0.596324261,0.593080599,0.587601095,0.578450439,0.563441016,0.539756561,0.504343651,0.45474179,0.390699476,0.315819464,0.237887627,0.1664675,0.108780984,0.067170879,0.039757887,0.022881016,0.012942464,0.007221204,0.003957353,0.002117719,0.001112811,0.000586998,0.000309838,0.000141443,5.14E-05,1.48E-05,3.48E-06,6.81E-07,1.14E-07,1.66E-08,2.14E-09,2.46E-10,2.57E-11,2.45E-12,2.14E-13,1.73E-14,1.31E-15,9.21E-17,6.09E-18,4.02E-19
17,0.59785374,0.596217566,0.592935202,0.587369688,0.578097945,0.562958098,0.539184621,0.503799397,0.454432673,0.390861384,0.316588791,0.23917711,0.16798265,0.110193159,0.068279809,0.040528668,0.023370572,0.01323432,0.007389476,0.00405421,0.002174184,0.00114512,0.000603804,0.000317334,0.000146686,5.50E-05,1.65E-05,4.07E-06,8.40E-07,1.48E-07,2.29E-08,3.12E-09,3.81E-10,4.21E-11,4.25E-12,3.95E-13,3.39E-14,2.71E-15,2.03E-16,1.42E-17,1.00E-18
18,0.59774499,0.596108262,0.592786849,0.587136369,0.577745605,0.562478848,0.538620517,0.503265918,0.454130852,0.39101904,0.317338955,0.240439433,0.169475276,0.111594828,0.069389231,0.041304949,0.02386649,0.013531437,0.007561351,0.00415319,0.002231759,0.001178022,0.000621032,0.000325286,0.000151979,5.85E-05,1.83E-05,4.71E-06,1.02E-06,1.90E-07,3.08E-08,4.43E-09,5.71E-10,6.67E-11,7.12E-12,6.99E-13,6.35E-14,5.37E-15,4.25E-16,3.15E-17,2.35E-18
19,0.597636124,0.595996492,0.592635634,0.586901207,0.577393502,0.562003275,0.53806412,0.502742828,0.453836029,0.391172639,0.318070764,0.241675491,0.170945726,0.112985794,0.070498713,0.04208646,0.024368654,0.013833786,0.007736843,0.004254324,0.002290479,0.00121154,0.000638693,0.000333668,0.000157343,6.21E-05,2.01E-05,5.39E-06,1.22E-06,2.38E-07,4.06E-08,6.15E-09,8.34E-10,1.03E-10,1.15E-11,1.19E-12,1.14E-13,1.02E-14,8.49E-16,6.65E-17,5.25E-18
