"#Time along first column, position along first row. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (day)/Position,0,30,60,90,120,150,180,210,240,270,300,330,360,390,420,450,480,510,540,570,600,630,660,690,720,750,780,810,840,870,900,930,960
0.2,0.982003335,0.974637265,0.960766435,0.941101815,0.921298125,0.9050994,0.892689865,0.882026985,0.875618055,0.867875635,0.86202569,0.85592693,0.845928985,0.8328583,0.81797281,0.798090905,0.73959251,0.56210421,0.217647015,0.03076262,0.001441385,1.68E-05,0,0,0,0,0,0,0,0,0,0,0
0.2125,0.98199786,0.974638665,0.96078746,0.94114861,0.921407705,0.90516594,0.892780795,0.882166075,0.87570202,0.868004455,0.862155245,0.856083505,0.846105075,0.833061405,0.81818497,0.798440305,0.74121369,0.566794615,0.22231432,0.031935455,0.001574395,3.32E-05,0,0,0,0,0,0,0,0,0,0,0
0.225,0.98197143,0.97465363,0.96082762,0.94120355,0.92145784,0.905289355,0.892899465,0.882266435,0.875797135,0.868144535,0.86226316,0.856226395,0.84623334,0.833153625,0.81852146,0.798793875,0.742659695,0.57075694,0.227736735,0.033098325,0.00167402,3.32E-05,0,0,0,0,0,0,0,0,0,0,0
0.2375,0.98197306,0.97471922,0.96079963,0.94131062,0.92147973,0.90538728,0.892952175,0.88244752,0.875866085,0.868284335,0.862406335,0.85633417,0.846428205,0.83326479,0.818738825,0.799327125,0.74409706,0.57512847,0.23268875,0.034422915,0.001706435,5.00E-05,0,0,0,0,0,0,0,0,0,0,0
0.25,0.98200691,0.974699405,0.96082995,0.941354645,0.92153982,0.90554708,0.893082795,0.88253712,0.8759611,0.86842236,0.862495295,0.856607585,0.84648506,0.83347699,0.81897275,0.799664615,0.745666135,0.579224355,0.237563765,0.03563779,0.0017728,5.01E-05,0,0,0,0,0,0,0,0,0,0,0
0.2625,0.982011065,0.974684665,0.96084543,0.94140403,0.921632005,0.905652495,0.893160855,0.88260261,0.8761385,0.86856838,0.862655105,0.856642735,0.84664116,0.83368654,0.81924736,0.80013123,0.74701259,0.583400685,0.242945685,0.03693641,0.001838735,5.00E-05,0,0,0,0,0,0,0,0,0,0,0
0.275,0.98199408,0.974703915,0.960862385,0.941485045,0.921698565,0.90575277,0.893344345,0.882683685,0.8762583,0.86879804,0.86275134,0.856804675,0.8467707,0.833821185,0.81949198,0.800543155,0.7483212,0.587440905,0.24835774,0.038239665,0.00192129,5.00E-05,0,0,0,0,0,0,0,0,0,0,0
0.2875,0.981966925,0.97474875,0.96086523,0.941550905,0.921784225,0.90587524,0.89345706,0.88273802,0.87641439,0.8688792,0.862909375,0.856928315,0.846917795,0.834021195,0.819829775,0.80075319,0.749771395,0.59134593,0.25360347,0.039788425,0.00197118,5.00E-05,0,0,0,0,0,0,0,0,0,0,0
0.3,0.98194058,0.9747385,0.9608824,0.941606865,0.921913265,0.905902255,0.89352281,0.88291994,0.87643052,0.869063675,0.86301638,0.857142205,0.84701619,0.83432577,0.82006847,0.80110431,0.751151785,0.59528429,0.25898287,0.041570995,0.00203774,5.00E-05,0,0,0,0,0,0,0,0,0,0,0
0.3125,0.981971945,0.97474789,0.96092053,0.94161023,0.922023255,0.905977125,0.893658755,0.883005075,0.876647945,0.869173555,0.863156295,0.857364775,0.847115915,0.83441647,0.82018796,0.801663945,0.75238823,0.599187165,0.264250345,0.04299017,0.002170995,5.00E-05,0,0,0,0,0,0,0,0,0,0,0
0.325,0.981942385,0.974778855,0.96093185,0.94169506,0.92203318,0.906050015,0.89378936,0.883172815,0.876847875,0.86924245,0.863263735,0.857448395,0.84728648,0.83456974,0.82043793,0.8019506,0.75371149,0.60341249,0.26972022,0.04444705,0.00220451,5.00E-05,0,0,0,0,0,0,0,0,0,0,0
0.3375,0.981884385,0.974815725,0.960967815,0.941737675,0.92212826,0.90614954,0.893874305,0.88327324,0.877010715,0.86937868,0.86341533,0.85761058,0.84740254,0.83479161,0.820687975,0.802246435,0.75497703,0.60744816,0.27493548,0.04618455,0.002288835,5.00E-05,0,0,0,0,0,0,0,0,0,0,0
0.35,0.981876965,0.97485342,0.96098999,0.941820895,0.922208985,0.90621714,0.893974685,0.88341734,0.877111445,0.86952105,0.863494455,0.857769035,0.84748722,0.83501782,0.82091313,0.80259372,0.75624263,0.611062945,0.28001445,0.04745176,0.00248892,4.99E-05,0,0,0,0,0,0,0,0,0,0,0
0.3625,0.981891155,0.97487549,0.960985335,0.941877535,0.922270845,0.906284215,0.894074525,0.883552245,0.87725981,0.8695886,0.86365627,0.85793705,0.84771706,0.835146565,0.82113234,0.80298028,0.757514065,0.614610285,0.285478435,0.04935634,0.00261951,4.99E-05,0,0,0,0,0,0,0,0,0,0,0
